Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Min,Fwd IAT Total,Fwd IAT Min,Bwd IAT Total,Fwd PSH Flags,Fwd Header Length,Bwd Packets/s,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,Down/Up Ratio,Fwd Bytes/Bulk Avg,Bwd Bytes/Bulk Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Active Mean,Idle Std,Clase_ID,Nombre_Ataque,Chunk_ID
443,38451,6,120475380.0,4,8,380.0,596.0,95.0,95.0,0.0,54.0,8.101241,0.09960542,10952307.0,1080.0,90447330.0,30147120.0,120474240.0,0,80.0,0.06640361,19.327585,1,0,0,0,0,0,2.0,0.0,0.0,4,380.0,8,21356.0,8212.0,4,22521734.0,2058.7368,12,Spoofing - DNS Spoofing,101
68,67,17,8084786.0,2,0,684.0,0.0,342.0,342.0,0.0,0.0,84.603355,0.24737823,0.0,0.0,0.0,0.0,0.0,0,16.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,684.0,0,0.0,0.0,2,0.0,0.0,12,Spoofing - DNS Spoofing,101
57621,57621,17,90025080.0,4,0,344.0,0.0,86.0,86.0,0.0,0.0,3.8211572,0.044432063,30008360.0,29999178.0,90025080.0,29999178.0,0.0,0,32.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4,344.0,0,0.0,0.0,4,0.0,14987238.0,12,Spoofing - DNS Spoofing,101
33407,80,6,0.0,1,0,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,54.0,0,1403.0,0.0,0,0.0,0.0,12,Spoofing - DNS Spoofing,101
68,67,17,33932624.0,7,0,2394.0,0.0,342.0,342.0,0.0,0.0,70.551575,0.20629115,5655437.0,1273161.0,33932624.0,1273161.0,0.0,0,56.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,7,2394.0,0,0.0,0.0,7,0.0,1196201.5,9,Mirai,101
443,38451,6,135833040.0,5,9,434.0,1085.0,95.0,54.0,16.4,54.0,11.182846,0.1030677,10448696.0,1060.0,105942530.0,15512666.0,135831520.0,0,100.0,0.06625781,107.26785,1,0,0,0,0,0,1.8,0.0,0.0,5,434.0,9,21356.0,8212.0,4,21054632.0,5841850.0,12,Spoofing - DNS Spoofing,101
68,67,17,17401032.0,3,0,1026.0,0.0,342.0,342.0,0.0,0.0,58.962025,0.17240357,8700516.0,8602150.0,17401032.0,8602150.0,0.0,0,24.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3,1026.0,0,0.0,0.0,3,0.0,0.0,14,Web-Based - Uploading Attack,101
30138,53,17,12046.0,1,1,88.0,104.0,88.0,88.0,0.0,104.0,15938.901,166.03021,0.0,0.0,0.0,0.0,0.0,0,8.0,83.01511,8.0,1,0,0,0,0,0,1.0,0.0,0.0,1,88.0,1,0.0,0.0,1,0.0,0.0,14,Web-Based - Uploading Attack,101
37664,443,6,8690141.0,20,17,7107.0,6239.0,1414.0,54.0,490.7722,54.0,1535.7633,4.2576985,241392.81,0.0,8690141.0,1.0,8539653.0,0,400.0,1.9562398,494.29544,1,0,0,0,0,0,0.85,5316.0,4846.0,20,7107.0,17,65535.0,648.0,7,822128.1,1784803.2,12,Spoofing - DNS Spoofing,101
57621,57621,17,90076910.0,4,0,344.0,0.0,86.0,86.0,0.0,0.0,3.8189585,0.044406496,30025638.0,30003112.0,90076910.0,30003112.0,0.0,0,32.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4,344.0,0,0.0,0.0,4,0.0,14983043.0,12,Spoofing - DNS Spoofing,101
48817,443,6,578217.0,656,1307,43296.0,1926518.0,66.0,66.0,0.0,1474.0,3406703.8,3394.9192,294.70795,0.0,575610.0,0.0,577331.0,0,13120.0,2260.397,664.159,1,0,0,0,0,0,1.992378,0.0,1840256.0,656,43296.0,1307,8233.0,122.0,0,8472.4,2774.1313,11,Spoofing - ARP Spoofing,102
443,60550,6,93446260.0,629,801,127130.0,375299.0,1414.0,54.0,400.72653,54.0,5376.6626,15.302913,65392.766,0.0,93339660.0,0.0,93425256.0,0,12580.0,8.571772,346.0456,1,0,0,0,0,0,1.2734499,8359.6,8037.65,629,127130.0,801,3876.0,7149.0,137,90274.86,1341443.0,12,Spoofing - DNS Spoofing,103
57621,57621,17,120034760.0,5,0,430.0,0.0,86.0,86.0,0.0,0.0,3.5822957,0.0416546,30008690.0,30002404.0,120034760.0,30002404.0,0.0,0,40.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,430.0,0,0.0,0.0,5,0.0,15002628.0,12,Spoofing - DNS Spoofing,103
68,67,17,17497270.0,3,0,1026.0,0.0,342.0,342.0,0.0,0.0,58.63772,0.17145532,8748635.0,8557581.0,17497270.0,8557581.0,0.0,0,24.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3,1026.0,0,0.0,0.0,3,0.0,0.0,14,Web-Based - Uploading Attack,103
443,48327,6,0.0,1,0,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1,54.0,0,9300.0,0.0,0,0.0,0.0,12,Spoofing - DNS Spoofing,103
68,67,17,25197180.0,6,0,2052.0,0.0,342.0,342.0,0.0,0.0,81.43768,0.23812188,5039436.0,1434438.0,25197180.0,1434438.0,0.0,0,48.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,6,2052.0,0,0.0,0.0,6,0.0,945409.75,9,Mirai,103
60550,443,6,120781990.0,9,5,691.0,434.0,95.0,54.0,20.373064,54.0,9.314302,0.11591132,9290922.0,1161.0,120781990.0,114880.0,90639730.0,0,180.0,0.0413969,19.645454,1,0,0,0,0,0,0.5555556,0.0,0.0,9,691.0,5,7149.0,8380.0,5,22531142.0,11958596.0,12,Spoofing - DNS Spoofing,103
68,67,17,25175706.0,4,0,1368.0,0.0,342.0,342.0,0.0,0.0,54.3381,0.15888333,8391902.0,8079405.0,25175706.0,8079405.0,0.0,0,32.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4,1368.0,0,0.0,0.0,4,0.0,4312081.0,0,Benign,103
5353,5353,17,0.0,1,0,117.0,0.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1,117.0,0,0.0,0.0,1,0.0,0.0,12,Spoofing - DNS Spoofing,103
5353,5353,17,0.0,1,0,117.0,0.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,1,117.0,0,0.0,0.0,1,0.0,0.0,12,Spoofing - DNS Spoofing,103
57621,57621,17,151639280.0,5,0,430.0,0.0,86.0,86.0,0.0,0.0,2.8356767,0.032972984,37909820.0,37569868.0,151639280.0,37569868.0,0.0,0,40.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5,430.0,0,0.0,0.0,5,0.0,17583980.0,12,Spoofing - DNS Spoofing,103
